
.\Data\s18\1.pgm;sizeOrigin:;10318;sizeDestino:;9065;
.\Data\s18\2.pgm;sizeOrigin:;10318;sizeDestino:;8472;
.\Data\s18\3.pgm;sizeOrigin:;10318;sizeDestino:;8245;
.\Data\s18\4.pgm;sizeOrigin:;10318;sizeDestino:;8339;
.\Data\s18\5.pgm;sizeOrigin:;10318;sizeDestino:;8116;
.\Data\s18\6.pgm;sizeOrigin:;10318;sizeDestino:;8071;
.\Data\s18\7.pgm;sizeOrigin:;10318;sizeDestino:;8057;
.\Data\s18\8.pgm;sizeOrigin:;10318;sizeDestino:;8033;
.\Data\s18\9.pgm;sizeOrigin:;10318;sizeDestino:;7986;
.\Data\s18\s1.pgm;sizeOrigin:;10318;sizeDestino:;14560;
.\Data\s18\s10.pgm;sizeOrigin:;10318;sizeDestino:;15489;
.\Data\s18\s11.pgm;sizeOrigin:;10318;sizeDestino:;15748;
.\Data\s18\s15.pgm;sizeOrigin:;10318;sizeDestino:;12851;
.\Data\s18\s16.pgm;sizeOrigin:;10318;sizeDestino:;14829;
.\Data\s18\s18.pgm;sizeOrigin:;10318;sizeDestino:;13424;
.\Data\s18\s21.pgm;sizeOrigin:;10318;sizeDestino:;13464;
.\Data\s18\s23.pgm;sizeOrigin:;10318;sizeDestino:;13692;
.\Data\s18\s24.pgm;sizeOrigin:;10318;sizeDestino:;14748;
.\Data\s18\s26.pgm;sizeOrigin:;10318;sizeDestino:;13517;
.\Data\s18\s29.pgm;sizeOrigin:;10318;sizeDestino:;13538;
.\Data\s18\s3.pgm;sizeOrigin:;10318;sizeDestino:;14036;
.\Data\s18\s30.pgm;sizeOrigin:;10318;sizeDestino:;14013;
.\Data\s18\s32.pgm;sizeOrigin:;10318;sizeDestino:;14494;
.\Data\s18\s33.pgm;sizeOrigin:;10318;sizeDestino:;13903;
.\Data\s18\s35.pgm;sizeOrigin:;10318;sizeDestino:;13434;
.\Data\s18\s38.pgm;sizeOrigin:;10318;sizeDestino:;14056;
.\Data\s18\s39.pgm;sizeOrigin:;10318;sizeDestino:;13049;
.\Data\s18\s40.pgm;sizeOrigin:;10318;sizeDestino:;13786;
.\Data\s18\s5.pgm;sizeOrigin:;10318;sizeDestino:;13786;
.\Data\s18\s7.pgm;sizeOrigin:;10318;sizeDestino:;13942;
.\Data\s18\s8.pgm;sizeOrigin:;10318;sizeDestino:;15023;
.\Data\s18\s9.pgm;sizeOrigin:;10318;sizeDestino:;14084;
